49445,(75.4594,-295.396),(-743.898,151.17),(63.2275,-63.398),(790.128,-25.8695),(-751.49,278.022),(731.421,502.761),(-1305.16,634.62),(-386,439),(424.948,-310.817),(-1405.92,-33.6382),(852.094,276.823),(-648.128,788.13),(673.73,-766.711),(-29.599,90.7716),(-976.805,553.053),-1997,(-976.805,-553.053),(-29.599,-90.7716),(673.73,766.711),(-648.128,-788.13),(852.094,-276.823),(-1405.92,33.6382),(424.948,310.817),(-386,-439),(-1305.16,-634.62),(731.421,-502.761),(-751.49,-278.022),(790.128,25.8695),(63.2275,63.398),(-743.898,-151.17),(75.4594,295.396)
(-52.0557,-193.684),(-1441.01,-229.621),(-579.955,69.8859),(1.74775,369.676),(-49.5369,-851.544),(-266.556,-265.303),(-415.901,1629.17),(390.639,-1297.76),(-896.666,323.506),(617.967,299.28),(252.217,645.049),(864.477,82.826),(-729.658,-447.922),(-151.544,-21.3319),(589.633,-162.45),(-2.67687,-1243.14),(-168.506,-88.8958),(-341.904,222.233),(737.486,-297.047),(687.91,-980.609),(-692.99,-624.315),(-284.701,-229.554),(-444.04,470.096),(-4.8529,304.973),(767.114,47.0849),(1258.57,-457.73),(92.4096,-468.565),(273.637,-245.985),(-566.779,432.353),(-288.568,993.178),(-20.522,-142.32),(-625.179,957.309)
(-617.159,278.484),(-1069.04,-85.6562),(291.719,-1073.34),(187.698,505.401),(174.523,-756.131),(-243.644,-163.142),(303.153,-49.1468),(-247.963,914.58),(569.627,-1584.79),(883.354,171.043),(-509.097,-13.7189),(516.021,-613.708),(305.487,-651.762),(487.478,323.307),(-344.113,112.812),(65.8455,885.729),(-861.112,-705.294),(-435.745,1271.8),(-51.3588,361.348),(40.2013,-142.491),(45.0569,-449.114),(-111.387,390.895),(1025.61,610.766),(-20.9512,-130.007),(1060.58,-478.825),(1390.1,-521.186),(-110.218,-56.3696),(-40.2221,984.059),(-50.927,-1038.88),(856.796,-1274.18),(-561.355,-359.073),(-109.962,-526.719)
(-102.705,-697.861),(964.689,-94.277),(-86.8439,10.0738),(167.256,988.998),(452.776,-372.857),(-227.428,-101.141),(958.495,306.803),(-369.793,1146.18),(-245.416,-641.948),(461.579,-310.296),(803.062,-1028.3),(-707.807,-463.399),(1259.64,395.643),(-151.44,-253.362),(1.51396,-814.625),(-244.969,-321.589),(1386.95,-682.124),(889.597,-175.028),(831.658,400.524),(98.7104,742.579),(-426.682,478.736),(256.581,-1754.33),(723.058,-188.441),(-136.986,41.7467),(-230.132,240.829),(1011.7,-319.695),(242.499,1526.54),(-329.792,435.217),(1019.71,-376.649),(101.504,35.1472),(917.957,210.006),(402.472,-22.0774)
(372.345,121.901),(-273.586,-183.671),(53.7591,-1043.41),(753.041,-1141.81),(96.3504,-403.007),(173.418,-412.975),(718.519,28.6184),(184.039,420.943),(51.6617,-782.572),(-1401.49,86.8027),(202.942,-705.263),(1181.13,289.133),(779.22,-515.894),(439.642,-72.3992),(460.936,-230.899),(-816.458,835.022),(-688.02,-1001.27),(-51.9452,277.693),(-675.087,34.4687),(-123.064,260.397),(-548.597,-1112.51),(668.794,-1008.61),(1288.81,-212.049),(-880.723,75.3833),(-11.1692,-470.999),(-899.937,-1023.59),(-1010.55,244.558),(-462.247,171.845),(550.08,1623.31),(202.197,-934.967),(-876.674,434.512),(319.031,1005.98)
(740.677,-266.664),(-289.786,-753.581),(-446.938,388.287),(-555.165,-924.567),(796.538,55.8741),(96.0067,1542.65),(-1061.55,-1305.07),(-505.163,435.179),(1039.77,-983.126),(241.164,525.551),(479.065,-1348.27),(1031.45,-1002.04),(-232.838,865.262),(-140.796,682.244),(251.552,469.033),(-905.127,-16.5911),(208.172,-1091.9),(-578.363,-143.461),(-546.55,141.238),(185.565,-85.4118),(-788.554,-214.696),(324.499,80.014),(686.124,752.227),(1039.55,421.087),(405.444,-600.314),(255.97,-266.386),(351.811,-946.315),(35.2029,-517.886),(414.865,902.893),(378.511,-777.224),(-678.245,456.105),(-107.886,322.034)
(-100.492,279.633),(278.08,-82.0143),(-1237.66,42.4368),(231.528,479.646),(-899.956,352.779),(1025.24,-728.207),(-959.021,1401.55),(1114.02,375.529),(690.839,-711.04),(214.352,-518.641),(100.242,-677.13),(640.649,215.654),(266.919,-300.849),(-85.099,134.762),(-810.839,825.617),(720.414,-850.228),(-865.464,-427.672),(-141.876,588.655),(-758.762,-574.553),(-97.3636,318.806),(-545.836,1151.87),(628.092,-804.112),(-1041.15,-186.237),(-130.655,-135.253),(-525.168,-350.762),(-856.668,-913.301),(-531.649,888.108),(177.799,299.927),(-771.074,793.601),(-76.2277,-364.857),(442.796,197.815),(151.897,712.55)
(-571.79,-1272.33),(367.287,163.703),(153.596,-813.625),(256.077,779.763),(16.6963,364.052),(-693.982,-250.659),(396.273,-1270.22),(441.703,-550.909),(-4.78699,-425.498),(345.303,588.021),(-169.583,848.718),(401.593,371.384),(-188.838,1309.06),(141.396,-750.032),(507.352,364.219),(-814.889,-1495.1),(-29.638,117.534),(-77.1835,-27.8838),(95.1354,481.983),(75.6753,355.598),(528.363,-405.83),(640.809,-642.78),(2022.93,-891.51),(734.252,150.249),(180.525,99.3546),(-175.335,-468.843),(813.814,-353.965),(375.405,36.9722),(-380.254,849.84),(-1576.4,112.586),(-942.134,274.953),(-260.538,-845.551)
(-400,183),(-691.624,-347.778),(883.101,514.433),(-63.4638,770.995),(346.166,-72.2879),(-495.036,763.64),(1452.44,-1415.35),(466.17,15.9806),(-241,-108),(480.079,1051.37),(1722.19,-545.123),(-812.701,599.745),(1322.99,278.011),(-78.7604,-285.53),(-900.353,260.663),(212.08,226.57),(882,-201),(649.215,-1331.28),(422.626,-755.951),(326.203,574.711),(969.834,124.288),(236.824,-543.75),(176.917,242.558),(-241.447,737.165),(-1233,-614),(-368.089,-504.361),(485.144,-199.193),(65.127,-397.694),(-86.9857,-142.011),(285.795,661.623),(-1005.92,-75.0943),(401.803,-185.219)
(-1765.31,33.2113),(-194.288,474.991),(-895.575,1103.55),(65.6525,-771.611),(426.509,320.837),(144.762,-637.561),(140.575,-397.868),(1116.77,-157.201),(-23.4698,770.78),(143.511,-559.391),(-438.795,61.6456),(64.5155,574.093),(46.4418,296.554),(560.062,-1086.18),(-63.1929,-766.117),(-877.791,360.166),(-251.823,439.476),(865.38,373.899),(1182.83,50.3325),(198.556,886.949),(-1026.61,1168.02),(-584.035,-212.177),(-103.969,60.2701),(398.819,-832.862),(779.24,-531.203),(-492.225,750.585),(55.0759,-615.824),(366.343,728.711),(-308.01,254.215),(-13.989,478.992),(157.39,-19.3764),(421.457,-40.6588)
(87.3377,1486.82),(569.011,-281.815),(-858.753,-6.93842),(181.83,295.147),(394.825,-1583.12),(-565.764,1040.34),(253.583,35.3192),(-88.1221,669.045),(437.246,-300.644),(-443.669,-210.103),(1117.55,-166.802),(1019.22,323.995),(-1296.43,-168.737),(561.601,-136.829),(36.5111,-315.886),(-201.7,43.2248),(-517.965,600.246),(1045.84,584.689),(712.685,-402.702),(-98.8303,-450.921),(-148.174,868.684),(-595.14,-1143.54),(-924.043,-71.9139),(-667.367,-366.914),(138.441,168.183),(-845.001,-35.0929),(-592.796,-90.5762),(-575.369,-494.79),(-445.661,243.67),(652.664,922.153),(582.575,-1010.65),(493.839,-445.319)
